detailUrl,unformattedPrice,beds,baths,area,zestimate,brokerName,latitude,longitude,date
https://www.zillow.com/homedetails/7683-Bellsville-Pike-Nashville-IN-47448/229322772_zpid/,250000,3.0,2.0,1370.0,255000.0,Keller Williams Indy Metro NE,39.149582,-86.10425,2021-12-06
https://www.zillow.com/homedetails/1070-Terrace-Lake-Rd-Columbus-IN-47201/85096964_zpid/,259999,3.0,2.0,2219.0,255000.0,Dean Wagner LLC,39.186707,-85.968376,2021-12-06
https://www.zillow.com/homedetails/5230-Hartford-Ave-Columbus-IN-47203/85098205_zpid/,199900,3.0,2.0,1260.0,201200.0,RE/MAX Real Estate Prof,39.22123,-85.863594,2021-12-06
https://www.zillow.com/homedetails/3610-1-2-Camelot-Ln-Columbus-IN-47203/2067720179_zpid/,222500,,,,,RE/MAX Real Estate Prof,,,2021-12-03
https://www.zillow.com/homedetails/2724-Daisy-Ct-Columbus-IN-47201/2082611128_zpid/,77000,0.0,,,,RE/MAX Real Estate Prof,39.175232,-85.951584,2021-12-03
https://www.zillow.com/homedetails/2931-Daylily-Dr-Columbus-IN-47201/217834488_zpid/,65000,0.0,,,,RE/MAX Real Estate Prof,39.17244,-85.95095,2021-12-03
https://www.zillow.com/homedetails/2725-Wild-Orchid-Way-Columbus-IN-47201/2082610582_zpid/,77000,0.0,,,,RE/MAX Real Estate Prof,39.17621,-85.95164,2021-12-03
https://www.zillow.com/homedetails/2762-Tipton-Ct-Columbus-IN-47201/85094941_zpid/,380000,4.0,3.0,3852.0,381700.0,RE/MAX Real Estate Prof,39.228104,-85.91386,2021-12-03
https://www.zillow.com/homedetails/5321-Denois-St-Columbus-IN-47201/102833884_zpid/,154900,3.0,2.0,1248.0,155600.0,RE/MAX Real Estate Prof,39.15307,-85.92896,2021-12-03
https://www.zillow.com/homedetails/755-Luse-Dr-Columbus-IN-47201/85096786_zpid/,269900,3.0,2.0,2235.0,271800.0,F.C. Tucker Real Estate Expert,39.189487,-85.97183,2021-12-03
https://www.zillow.com/homedetails/5574-S-Holiday-Dr-Columbus-IN-47203/85092954_zpid/,120000,3.0,2.0,1432.0,120900.0,RE/MAX Real Estate Prof,39.15082,-85.78999,2021-12-03
